iter	Passed	Remaining
799	17990	4497
800	18014	4475
801	18035	4452
802	18058	4430
803	18082	4408
804	18102	4385
805	18124	4362
806	18146	4339
807	18169	4317
808	18193	4295
809	18214	4272
810	18236	4249
811	18259	4227
812	18288	4206
813	18315	4185
814	18338	4162
815	18362	4140
816	18386	4118
817	18410	4096
818	18433	4073
819	18458	4051
820	18480	4029
821	18502	4006
822	18526	3984
823	18547	3961
824	18569	3939
825	18591	3916
826	18614	3894
827	18636	3871
828	18659	3848
829	18681	3826
830	18703	3803
831	18725	3781
832	18747	3758
833	18769	3735
834	18792	3713
835	18811	3690
836	18833	3667
837	18858	3645
838	18879	3622
839	18901	3600
840	18922	3577
841	18947	3555
842	18970	3533
843	18994	3510
844	19015	3488
845	19037	3465
846	19060	3442
847	19082	3420
848	19105	3398
849	19126	3375
850	19149	3352
851	19171	3330
852	19194	3307
853	19215	3285
854	19239	3262
855	19263	3240
856	19286	3218
857	19308	3195
858	19330	3172
859	19352	3150
860	19375	3128
861	19400	3105
862	19422	3083
863	19444	3060
864	19465	3038
865	19487	3015
866	19509	2992
867	19529	2969
868	19552	2947
869	19572	2924
870	19596	2902
871	19616	2879
872	19640	2857
873	19664	2834
874	19687	2812
875	19713	2790
876	19735	2767
877	19756	2745
878	19777	2722
879	19801	2700
880	19821	2677
881	19845	2655
882	19871	2632
883	19899	2611
884	19926	2589
885	19946	2566
886	19970	2544
887	19992	2521
888	20015	2499
889	20039	2476
890	20061	2454
891	20084	2431
892	20107	2409
893	20128	2386
894	20150	2364
895	20171	2341
896	20195	2318
897	20218	2296
898	20241	2274
899	20263	2251
900	20286	2229
901	20308	2206
902	20329	2183
903	20352	2161
904	20375	2138
905	20398	2116
906	20418	2093
907	20443	2071
908	20464	2048
909	20485	2026
910	20508	2003
911	20531	1981
912	20555	1958
913	20577	1936
914	20599	1913
915	20621	1891
916	20645	1868
917	20667	1846
918	20690	1823
919	20713	1801
920	20735	1778
921	20769	1757
922	20790	1734
923	20811	1711
924	20834	1689
925	20857	1666
926	20879	1644
927	20901	1621
928	20924	1599
929	20945	1576
930	20969	1554
931	20993	1531
932	21014	1509
933	21038	1486
934	21068	1464
935	21094	1442
936	21116	1419
937	21136	1397
938	21160	1374
939	21184	1352
940	21207	1329
941	21229	1307
942	21252	1284
943	21275	1262
944	21297	1239
945	21319	1216
946	21340	1194
947	21362	1171
948	21387	1149
949	21409	1126
950	21431	1104
951	21452	1081
952	21475	1059
953	21498	1036
954	21521	1014
955	21542	991
956	21564	968
957	21586	946
958	21608	923
959	21631	901
960	21655	878
961	21677	856
962	21700	833
963	21721	811
964	21744	788
965	21765	766
966	21788	743
967	21810	721
968	21832	698
969	21854	675
970	21878	653
971	21899	630
